id	kind	verdict	source	reason
53d7c2ad63cb	copied-block	no	judge:opus-5.5	The two usage checks belong to separately versioned shape boundaries (current v4 writer vs frozen archived v1-v3 records) that the module header keeps independent on purpose, so one shared owner would couple an archive reader to the evolving writer.
53e43c5f0b31	superseded-schema-tag	no	judge:opus-5.5	The watchdog final check reads recorded opening.json files, and archived runs carry campaign-opening/v1, which other readers (controller-evidence.ts, select-best-runs) also still accept; historical evidence must stay readable.
7165cc579387	copied-block	no	judge:opus-5.5	The shared part is only a query plus running() test with different error messages and different positions in the loop, so a boolean helper taking plan, command and manager would add a name without making checkOpening clearer.
95e3cb0d1d8d	test-only-export	yes	judge:opus-5.5	latestRun has no reader in packages/ui, src or tools other than its test, and its doc comment says run selection was dropped, so the export and its test cases can go.
e4efb0ccec8c	unproduced-set-member	no	judge:opus-5.5	AdmissionLineage types recorded iteration evidence, and archived records (truss-run10 iterations 5-8) carry reason plan-exhausted, which AGENTS.md also names; removing the member would mistype readable history.
100c78917cd9	identity-without-owner	no	judge:opus-5.5	correctness-model/evaluator.ts is a public bundle file name that reads clearly as a literal across the author, builder and closed truth trees; a shared constant adds cross-tree imports for no gain, and at most this line should reuse its own key path.
c812689cc346	compatibility-path	no	judge:opus-5.5	legacyPath lets the dashboard read ladder.json from archived campaign candidates written before the claim-stages rename; deleting it would hide recorded evidence of old runs, which must stay readable.
6260a91afa8d	superseded-schema-tag	no	judge:opus-5.5	judge-reviews.ts casts recorded judge evidence from earlier runs to JudgeSubjectEvidence, and the comment marks v2 as readable archaeology, so the member keeps the reader's type honest about archived files.
33edeea7e1be	test-only-export	no	judge:opus-5.5	The test uses the export as a seam to seed the cache and then proves the live replacement-invalidation behaviour of builderCommandGuards and inspectBuilderCommandGuard; if anything the test should seed via inspectBuilderCommandGuard with a short timeout, not be deleted with the export.
319f965c130e	single-reader-export	no	judge:opus-5.5	The module carries the run-cited rationale for a distinct settlement and verification-runner.ts is already about 580 lines, so folding it in would push the reader toward the 600-line limit without reading better.
8cdb7fdeb076	rule-without-fixture	no	judge:opus-5.5	The rule is live at error and demonstrably reports (a 246-site census and three oxlint-disable lines in src/backends/turn-runtime.ts), so a fixture would add no decision-changing evidence.
3f9f9ddc8920	single-reader-export	no	judge:opus-5.5	The reader src/correctness-bundle/controls.ts already holds about 750 lines, over the 600-line file limit, so folding the self-contained representation check into it would read worse.
7e3cbcb233e1	compatibility-path	no	judge:opus-5.5	It does not accept legacy data; it refuses a stale `rung` field in a Builder-authored battery, and deleting it would make that field silently ignored instead of refused.
5a95eacd4d5b	single-reader-export	no	judge:opus-5.5	The queue was split out deliberately because claude-backend.ts is a frozen ported file at its arrival size, and the generic queue has no tie to the backend.
6ab05d377a10	unproduced-set-member	no	judge:opus-5.5	`constraint-pinned` is produced by the Builder model from STARTER.md examples, not by production code, so removing it would refuse valid authored briefs.
fb0a2e57f9a6	single-reader-export	no	judge:opus-5.5	iteration-analysis.ts already holds about 580 nonblank lines, so inlining this would push it past the 600-line limit, and the separate censor file names the tenet-4 boundary.
a700f9ad7969	identity-without-owner	no	judge:opus-5.5	Most spellings are finding paths and prompt text that name a public bundle file, and interpolating a constant into those would read worse than the stable literal.
7ed51d92f3fa	rule-without-fixture	yes	judge:opus-5.5	The complex AST rule has no fixture and no disable line or other sign that it has ever reported, and the repository pattern (test/unproven-unknown-parameter.test.ts) proves a rule with a labelled fixture.
7af791681c0e	copied-block	yes	judge:opus-5.5	findingDelta is byte-for-byte the same current and legacy shape (it has no current* variant), and facts.ts already imports from legacy.ts, so one exported owner removes the copy.
2c072c11a98d	superseded-schema-tag	no	judge:opus-5.5	AGENTS.md keeps historical evidence readable, and the v1 branch discloses late-bound budget evidence for archived runs, so removing it would make them throw.
e8d9416676e3	rule-without-fixture	no	judge:opus-5.5	no-runtime-typeof belongs to the vendored generic anti-slop plugin, is live at error in .oxlintrc.json with per-path overrides showing it reports, and the repository keeps fixture tests only for its own ana rules.
e73596155064	rule-without-fixture	no	judge:opus-5.5	require-safety-comment-for-type-assertion is a vendored anti-slop rule gating the whole tree at error, and the SAFETY comments it forces across src already show it reports, so a fixture adds cost without changing a decision.
0451a6990fbc	superseded-schema-tag	no	judge:opus-5.5	tools/outcome/judge.ts is the deliberate reader of recorded judge-reviews v6 to v9 evidence (its comment says how each old shape is read), and recorded history must stay readable.
5bcd6423bb27	superseded-schema-tag	no	judge:opus-5.5	src/run/controller-evidence.ts:137 is the current and only writer of campaign-opening/v1; v2 appears only in a skill script, so removing the v1 writer would break every opening.
8788e0044548	identity-without-owner	no	judge:opus-5.5	opening.json is a short filename literal joined to different base directories; a bare constant adds indirection, and the better form, if any, is a controllerOpeningPath(campaignDir, runId) helper rather than a named string.
bdf18a35bd86	test-only-export	no	judge:opus-5.5	loadValidatedBrief is a test precondition that proves the rewritten brief is valid so the later refusal comes from the intended verifier gate; deleting it weakens that hostile test's attribution.
